code,company,file_type,submit,zip_id,accounting,fiscal_year,quarter,consolidated,sales_prior,sales_pct_prior,sales_current,sales_pct_current,sales_forecast,sales_pct_forecast,sales_forecast_next,sales_pct_forecast_next,operating_income_prior,operating_income_pct_prior,operating_income_current,operating_income_pct_current,operating_income_forecast,operating_income_pct_forecast,operating_income_forecast_next,operating_income_pct_forecast_next,operating_income_progress,ordinary_income_prior,ordinary_income_pct_prior,ordinary_income_current,ordinary_income_pct_current,ordinary_income_forecast,ordinary_income_pct_forecast,ordinary_income_forecast_next,ordinary_income_pct_forecast_next,pretax_income_prior,pretax_income_pct_prior,pretax_income_current,pretax_income_pct_current,pretax_income_forecast,pretax_income_pct_forecast,pretax_income_forecast_next,pretax_income_pct_forecast_next,net_income_prior,net_income_pct_prior,net_income_current,net_income_pct_current,net_income_forecast,net_income_pct_forecast,net_income_forecast_next,net_income_pct_forecast_next,eps_prior,eps_current,eps_pct_current,eps_forecast,eps_forecast_next,eps_progress,roe,roa,dividend_prior,dividend_current,dividend_forecast_next,payout_ratio_prior,payout_ratio_current,payout_ratio_forecast_next,total_assets_prior,total_assets_current,net_assets_prior,net_assets_current,capital_ratio_prior,capital_ratio_current,outstanding_stock_current,treasury_stock_current,operating_cf_prior,operating_cf_current,investing_cf_prior,investing_cf_current,financing_cf_prior,financing_cf_current,cash_prior,cash_current
1909,日本ドライケミカル株式会社,tanshin,2020-06-29,TD081220200629454612,日本基準,2020-03-31,Q4,連,36304000000.0,11.3,39846000000.0,9.8,,,,,1702000000.0,53.5,2974000000.0,74.7,,,,,,1739000000.0,49.8,2784000000.0,60.1,,,,,,,,,,,,,1116000000.0,1.1,1584000000.0,42.0,,,,,157.61,224.12,42.2,,,,11.4,7.1,,,,19.0,13.4,,28056000000.0,41895000000.0,12550000000.0,15997000000.0,44.7,33.1,,,2837000000.0,-731000000.0,-563000000.0,-4218000000.0,-965000000.0,4658000000.0,3669000000.0,3650000000.0
1909,日本ドライケミカル株式会社,tanshin,2020-06-29,TD081220200629454612,日本基準,2020-03-31,Q4,単,33343000000.0,10.6,35455000000.0,6.3,,,,,1604000000.0,73.0,2648000000.0,65.1,,,,,,1716000000.0,65.3,2544000000.0,48.2,,,,,,,,,,,,,1161000000.0,8.6,1705000000.0,46.9,,,,,163.96,241.24,47.1,,,,14.5,8.6,,30.0,,,,,24727000000.0,30774000000.0,10323000000.0,11789000000.0,41.7,38.3,7181812.0,180624.0,,,,,,,,
2751,株式会社 テンポスホールディングス,tanshin,2020-06-29,TD081220200629454154,日本基準,2020-04-30,Q4,連,30134000000.0,3.6,29195000000.0,-3.1,30327000000.0,0.6,,,1953000000.0,-2.6,1722000000.0,-11.8,2335000000.0,19.5,,,73.7,2091000000.0,-1.6,1903000000.0,-8.9,2605000000.0,24.5,,,,,,,,,,,1010000000.0,63.6,960000000.0,-4.9,1263000000.0,25.0,,,84.54,79.82,-5.6,105.59,,75.6,9.6,10.6,,,,11.8,12.0,,15181000000.0,16284000000.0,10683000000.0,12173000000.0,60.0,61.6,,,1111000000.0,687000000.0,-269000000.0,-1240000000.0,-114000000.0,457000000.0,7085000000.0,6990000000.0
2751,株式会社 テンポスホールディングス,tanshin,2020-06-29,TD081220200629454154,日本基準,2020-04-30,Q4,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,,,,,,,,,,14314800.0,2331711.0,,,,,,,,
3050,ＤＣＭホールディングス株式会社,tanshin,2020-06-29,TD081220200626453167,日本基準,2021-02-28,Q1,連,115854000000.0,-1.6,125816000000.0,8.6,438100000000.0,0.2,,,6812000000.0,9.5,11606000000.0,70.4,21000000000.0,0.8,,,55.3,6675000000.0,11.8,11672000000.0,74.9,20200000000.0,0.5,,,,,,,,,,,4656000000.0,14.7,8149000000.0,75.0,13000000000.0,-5.7,,,34.85,59.71,71.3,95.27,,62.7,3.9,2.4,,,,,,,,486672000000.0,,207617000000.0,,42.7,,,,,,,,,,
3050,ＤＣＭホールディングス株式会社,tanshin,2020-06-29,TD081220200626453167,日本基準,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146487027.0,9979534.0,,,,,,,,
3075,株式会社 銚子丸,tanshin,2020-06-29,TD081220200629454313,日本基準,2020-05-15,Q4,単,19316000000.0,2.8,18076000000.0,-6.4,19900000000.0,3.0,,,937000000.0,61.5,71000000.0,-92.4,728000000.0,-22.3,,,9.8,982000000.0,59.4,139000000.0,-85.8,751000000.0,-23.4,,,,,,,,,,,505000000.0,65.4,-93000000.0,,506000000.0,0.2,,,37.04,-6.83,-118.4,37.11,,-18.4,-1.4,0.8,6.0,0.0,,16.2,,,9970000000.0,8751000000.0,6658000000.0,6521000000.0,66.8,74.5,14518000.0,819210.0,1151000000.0,-463000000.0,-461000000.0,-599000000.0,-130000000.0,-61000000.0,5962000000.0,4838000000.0
3086,Ｊ．フロント　リテイリング株式会社,tanshin,2020-06-29,TD081220200626452954,IFRS,2021-02-28,Q1,連,112482000000.0,1.3,63459000000.0,-43.6,332000000000.0,-30.9,,,12794000000.0,-1.6,-27103000000.0,,-30000000000.0,,,,90.3,,,,,,,,,12150000000.0,-8.0,-28492000000.0,,-35900000000.0,,,,7447000000.0,-10.7,-20334000000.0,,-26000000000.0,,,,28.45,-77.66,-373.0,-99.3,,78.2,-5.6,-2.1,,,,,,,,1281163000000.0,,374434000000.0,,28.3,,,,,,,,,,
3086,Ｊ．フロント　リテイリング株式会社,tanshin,2020-06-29,TD081220200626452954,IFRS,2021-02-28,Q1,単,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270565764.0,8730637.0,,,,,,,,
3333,株式会社 あさひ,tanshin,2020-06-29,TD081220200619447635,日本基準,2021-02-20,Q1,単,20411000000.0,1.8,19886000000.0,-2.6,62700000000.0,4.8,,,3292000000.0,-0.4,3095000000.0,-6.0,4360000000.0,8.8,,,71.0,3365000000.0,1.7,3154000000.0,-6.3,4410000000.0,3.8,,,,,,,,,,,2296000000.0,2.2,2127000000.0,-7.3,2875000000.0,12.4,,,87.92,81.58,-7.2,110.23,,74.0,7.1,7.5,,,,,,,,41329000000.0,,29742000000.0,,72.0,26240800.0,161940.0,,,,,,,,
